,Unnamed: 0,company,headquarters,size,founded,type,revenue,website,industry,Description
109,109,Philip Morris Internationé,"Richmond, VA",5001 to 10000 Employees,1847.0,Subsidiary or Business Segment,$1 to $5 billion (USD),www.philipmorrisusa.com,Consumer Product Manufacturing,"Philip Morris & Co., Ltd. was established in 1847 when the family of Philip Morris opened their first London tobacco shop​ and began making tobacco products that royalty and the working man alike would enjoy.More than 150 years later, we’re the leading manufacturer of cigarettes in the United States (a position we’ve held since 1983). Headquartered in Richmond, VA, we now produce some of the most well-known brands in the consumer products industry."
110,110,World Fuel Services,"Doral, FL",1001 to 5000 Employees,1984.0,Company - Public (INT),$10+ billion (USD),www.wfscorp.com,Energy & Utilities,"World Fuel Services is a leader in the global energy industry. Our headquarters are in Miami; Florida’s commercial and multicultural capital – but our people are based in more than 150 locations worldwide, a global family that operates as one team on six continents. We come from a range of diverse cultural backgrounds and boast an equally diverse range of skills, from marine engineering to financial expertise. Our team is there for our customers when it matters most. Our global team of local professionals deliver innovative products and services to more than 8,000 global locations, and while we collaborate with transportation, commercial and industrial partners, we have a multifaceted team of drivers, traders, brokers, and professionals with one thing in common – a steadfast commitment to our valued customers.With revenues more than $30 billion, World Fuel Services offers its customers a value-added outsource service for supply, quality control, logistical support and price risk management.As we continue to expand our product and service offerings in our four primary verticals (Land, Aviation, Marine and Sustainability) to meet the changing energy needs of our customers, our highly collaborative team of employees and professionals operate with integrity, social responsibility, and transparency."
111,111,Performance Food Group,"Richmond, VA",10000+ Employees,1987.0,Company - Public (PFGC),Unknown / Non-Applicable,www.pfgc.com,Grocery Stores,"When it's time to eat out, Performance Food Group (PFG) delivers. The #3 broadline foodservice distributor in the US (behind SYSCO and U.S. Foodservice), PFG supplies more than 68,000 products to restaurants, hotels, and other hospitality operators through about 20 distribution facilities. Its PFG-Customized distribution division serves chain restaurants such as Cracker Barrel and Ruby Tuesday, while its Roma Food unit supplies pizzerias, Italian restaurants, and specialty food shops. PFG subsidiary Vistar is a distributor of candy, snacks, and convenience foods for vending operators, retailers, and concessions. The company was taken private in 2008 by The Blackstone Group and Wellspring Capital Management."
112,112,Delta Air Lines,"Atlanta, GA",10000+ Employees,1928.0,Company - Public (DAL),$10+ billion (USD),www.delta.com/us/en/careers/overview,"Airlines, Airports & Air Transportation","We’ve been connecting people since our first passenger flight in 1929. Since then, we’ve been steadily climbing toward our goal of being the world’s best airline. We serve more worldwide destinations than any other airline, we’ve added more international capacity than all other major U.S. airlines combined, and we’re the leader in trans-Atlantic flights. We’re guided by the belief that connecting the world is the most important work there is. That our purpose is to erase the distance that separates us. And that the farther we go, the closer we land."
113,113,American Airlines Group,"Fort Worth, TX",10000+ Employees,1926.0,Company - Public (AAL),$10+ billion (USD),jobs.aa.com,"Airlines, Airports & Air Transportation","Embark on an adventure with a commitment to service, excellence and humanity. Our team is what powers our airline. We are proudly dedicated to our purpose of caring for people on life’s journey, including connecting our customers to the people and places they love or providing our team members development and leadership opportunities to acquire new skills and explore their potential. With more than 1,300 aircraft in our mainline and regional fleets combined and an extensive route network that touches six continents, we’ve got a place for you to start — or continue — your career. Whether you’re stationed at one of our hundreds of airports, working out of our state-of-the-art headquarters in Fort Worth, Texas, or serving customers over the phone from your home office, there are endless opportunities for you to grow and lead at American."
114,114,Netflix,"Los Gatos, CA",5001 to 10000 Employees,1997.0,Company - Public (NFLX),$5 to $10 billion (USD),www.netflix.com,Internet & Web Services,"Netflix is the world's leading streaming entertainment service with 193 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments."
115,115,Paramount Global,"Coppell, TX",1 to 50 Employees,,Company - Private,$1 to $5 million (USD),www.paramountgs.com,Advertising & Public Relations,
116,116,US Foods Holding,"Rosemont, IL",10000+ Employees,2000.0,Company - Public (USFD),$10+ billion (USD),www.usfoods.com,Wholesale,"With a promise to help its customers Make It, US Foods is one of America’s great food companies and a leading foodservice distributor, partnering with approximately 250,000 restaurants and foodservice operators to help their businesses succeed. With 69 broadline locations and more than 80 cash and carry stores, US Foods and its 28,000 associates provides its customers with a broad and innovative food offering and a comprehensive suite of e-commerce, technology and business solutions. US Foods is headquartered in Rosemont, Ill. Visit www.usfoods.com to learn more."
117,117,Danaher,"Washington, DC",10000+ Employees,1984.0,Company - Public (DHR),$10+ billion (USD),jobs.danaher.com,Biotech & Pharmaceuticals,"Wondering what’s within Danaher? Take a closer look.At first glance, you’ll see Danaher’s scale. Our 80,000 associates work across the globe at morethan 25 unique operating companies within four platforms—life sciences, diagnostics, waterquality, and product identification. Look again and you’ll see the opportunity to build ameaningful career, be creative, and take risks with the support you need to be successful. You’llfind associates who are as certain about their impact as they are about where they’re headednext. You’ll find the Danaher Business System, which makes everything possible. You’ll alsosee a company that investors trust—our culture of continuous improvement has helped usoutperform the S&P 500 by more than 5,000% over the past 25 years.And no matter where you look at Danaher, at the heart of what we do, you’ll witness our sharedpurpose—helping realize life’s potential—in action. Whether we’re enabling our customers toprovide clean water, supporting a life-saving vaccine development, advancing a new instrumentfor cancer diagnosis, or ensuring product safety, our work helps improve millions of lives.We hope you’ll see yourself here, too. What you find at Danaher—and within yourself—might just change the world."
118,118,Jabil,"Saint Petersburg, FL",10000+ Employees,1966.0,Company - Public (JBL),$10+ billion (USD),www.jabil.com,Electronics Manufacturing,"Jabil is a business-to-business (B2B) engineering, manufacturing, supply chain and design services company. Many of the world’s best companies use our services to get their products to market. It’s our mission to not just help them grow, but to help them grow better, faster and more effectively. At our core, we are humble and united with an unshakeable commitment to caring about our people, our communities, and our environment. That’s how we’ve built this company for over half a century and will continue with pride for future generations. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.  At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER.Say yes to opportunity. Join us.  "
119,119,Starbucks,"Seattle, WA",10000+ Employees,1971.0,Company - Public (SBUX),$10+ billion (USD),www.starbucks.com/careers,Restaurants & Cafes,"By bringing people together over coffee, Starbucks has become one of the world’s best-known and best-loved companies. We purchase, roast and serve award-winning coffee. We also offer Italian-style espresso beverages, cold blended beverages, delicious food, premium teas and selected compact discs through our retail stores. Working at Starbucks is a lot like working with your friends. When you work here, you’re not an “employee” – we call ourselves “partners” because we believe in shared common goals and mutual success. We’re dedicated to serving ethically sourced coffee, caring for the environment and giving back to the communities where we do business.---------------Reimagining the Workplace for Corporate PartnersAt Starbucks, we empower our partners (employees) by providing a flexible hybrid workplace. When you're here, you can work in the way that's best for you.*Hybrid: Role has flexibility for remote work up to four days per week depending on team and business needs Remote: Role is not office dependent and allows work to be done remote 100% of the time; some travel may be requiredOffice Based: Role requires all work to be done in a company work location*Most roles offer flexible hybrid or remote options, but some roles may be office dependent, as specified at the top of the job postings.---------------"
120,120,Mondelez International,"East Hanover, NJ",10000+ Employees,2012.0,Company - Public (MDLZ),$10+ billion (USD),www.mondelezinternational.com,Food & Beverage Manufacturing,"Mondelēz International, Inc. (NASDAQ: MDLZ) is one of the world’s largest snacks companies with the mission to lead the future of snacking.You could say our story began in 1761 with Fry’s (who produced the first modern day chocolate bar) … or when John Cadbury opened his first grocery shop in 1824 … or in 1846 with the creation of LU biscuits … or in 1901 with the production of the first Nabisco cookies. But we really came together in 2012 with the creation of Mondelēz International. We combine the energy and passion of a new company with the strength and heritage of 100+ year-old brands - and nearly 90,000+ employees working across 165 countries. We have the scale and resources of a big organization, together with the speed, hunger, creativity and agility of a smaller company."
121,121,EliLilly,"Indianapolis, IN",10000+ Employees,1876.0,Company - Public (LLY),$10+ billion (USD),www.lilly.com,Biotech & Pharmaceuticals,"Lilly is a global health care leader that unites caring with discovery to create medicine that make life better for people around the world.  For more than a century, we have stayed true to a core set of values – excellence, integrity, and respect for people – that guide us in all we do:  discovering medicines that meet real needs, improving the understanding and management of disease, and giving back to communities through philanthropy and volunteerism.  We also have been committed to investing in our employees – through competitive salaries, training and development, health, and the opportunity to do good.  The pharmaceutical industry is a complex, rapidly changing environment and we’re looking for people who are determined to make life better for people around the world.  Visit https://careers.lilly.com for more information."
122,122,Hewlett Packard Enterpri,"Houston, TX",10000+ Employees,2015.0,Company - Public (HPE),Unknown / Non-Applicable,www.hpe.com/careers,Information Technology Support Services,"Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE."
123,123,D.R. Horton,"Arlington, TX",5001 to 10000 Employees,1978.0,Company - Public (DHI),$10+ billion (USD),www.drhorton.com,Construction,"America's Builder sounds like a lofty title, but it's a goal we work toward every single day.It started in 1978 in Fort Worth, Texas. Don Horton struck a deal to build his first home with only $3,000 and an empty lot to his name. His confidence and commitment to the buyer grew the company where it is today. D.R. Horton is now the number one homebuilder in America and has been since 2002.D.R. Horton is now a Fortune 500 company that sells homes in 87 markets across 29 states. Our company continues to grow across America through acquisitions and expanding market share. Through all this, our founding vision hasn't changed.We believe in homeownership for everyone. Our brands, D.R. Horton, Express, Emerald, and Freedom, grow with our homebuyer. And if they’re not looking to buy just yet, they’re still on our mind. We know that it's important to rent from a trusted builder, so we offer rental properties through DHI Communities.Who better to help with the rest of the home buying journey? Our financial services DHI Mortgage, DHI Title, and D.R. Horton Insurance get buyers into their dream home and protect it for the future.We are America's Builder."
124,124,Molina Healthcare,"Long Beach, CA",10000+ Employees,1980.0,Company - Public (MOH),$10+ billion (USD),careers.molinahealthcare.com,Insurance Carriers,"Molina Healthcare is a nationwide Fortune 500 organization with a mission to provide quality healthcare to people receiving government assistance. If you are seeking a meaningful opportunity in a team-oriented environment, come be part of a highly engaged workforce dedicated to our mission. Bring your passion and talents and together we can make a difference in the lives of others."
125,125,CBRE Group,"Dallas, TX",10000+ Employees,1906.0,Company - Public (CBRE),Unknown / Non-Applicable,www.cbre.com,Real Estate,"CBRE is the world’s largest commercial real estate services and investment company, with the #1 global market position in leasing, property sales, outsourcing, property management and valuation. CBRE is also the largest commercial property developer in the United States, and has $129.1B of Assets Under Management within our Global Investors business. Our more than 100,000 employees serve clients in over 100 countries, including over 90% of the Fortune 100."
126,126,Micron Technology,"Boise, ID",10000+ Employees,1978.0,Company - Public (MU),$10+ billion (USD),www.micron.com,Computer Hardware Development,"For over 40 years, Micron’s memory and storage solutions have been foundational to innovations that have transformed the world in countless ways. Our technology and expertise are core to computers that boot up in an instant and work harder and faster; mobile phones with brilliant screen resolution and longer battery life; and new business models that are disrupting entire industries faster than ever — such as entertainment, manufacturing and finance.Our VisionAs a global leader in memory and storage solutions, we are transforming how the world uses information to enrich life by enabling technologies to collect, store and manage data with unprecedented speed and efficiency. We are accelerating the transformation of information into intelligence — inspiring the world to learn, communicate and advance faster than ever.Our CommitmentMicron’s dedication to employee health and safety, environmental quality, and community engagement is part of our commitment worldwide. This dedication includes working toward building and maintaining sustainable operations, products, and supply chains around the globe. Through the Micron Foundation we provide opportunities for learning and enrichment by sharing our resources and people in the communities where our team members live and work."
127,127,Broadcom,"San Jose, CA",10000+ Employees,1991.0,Company - Public (BRCM),$10+ billion (USD),www.broadcom.com,Electronics Manufacturing,"Broadcom harbors broad ambitions for its semiconductors' impact on broadband communications: it wants them to drive every part of the high-speed wired and wireless networks of the future. The core applications for its integrated circuits (ICs) are digital set-top boxes, cable modems, servers, and networking gear for homes and offices. Broadcom also makes semiconductors for carrier access, DSL, and wireless communications equipment, including mobile phones. Customers include Apple (13% of sales), Samsung Electronics (10% of sales) Cisco, Dell, Hewlett-Packard, LG, and Nokia."
128,128,Gilead Sciences,"Foster City, CA",10000+ Employees,1987.0,Company - Public (GILD),$10+ billion (USD),www.gilead.com,Biotech & Pharmaceuticals,"Gilead Sciences, Inc. is a biopharmaceutical company that has pursued and achieved breakthroughs in medicine for more than three decades, with the goal of creating a healthier world for all people. The company is committed to advancing innovative medicines to prevent and treat life-threatening diseases, including HIV, viral hepatitis and cancer. Gilead operates in more than 35 countries worldwide, with headquarters in Foster City, California."
129,129,PBF Energy,"Parsippany, NJ",1001 to 5000 Employees,,Company - Public (PBF),$10+ billion (USD),www.pbfenergy.com,Metal & Mineral Manufacturing,
130,130,Lennar,"Miami, FL",1001 to 5000 Employees,1981.0,Subsidiary or Business Segment,Unknown / Non-Applicable,www.lennarmortgage.com,Banking & Lending,
131,131,United Natural Foods,"Providence, RI",10000+ Employees,1978.0,Company - Public (UNFI),$10+ billion (USD),www.unfi.com,Wholesale,"A company you’ll want to work for. We start from a place of respect, and always put safety and integrity at the forefront of everything we do. Whether you’re interested in a corporate office position or being part of our dynamic supply chain network, UNFI is where you’ll find ... Read more"
132,132,NRG Energy,"Princeton, NJ",5001 to 10000 Employees,1992.0,Company - Public (NRG),$5 to $10 billion (USD),www.nrg.com,Energy & Utilities,"NRG is one of the leading integrated power companies in the U.S, powered by people and built on dynamic retail brands with diverse generation resources. A Fortune 500 company, NRG creates value through best-in-class operations, reliable and efficient electric generation, and a retail platform serving residential and commercial businesses. Working with electricity customers, large and small, we continually innovate, embrace and implement sustainable solutions for producing and managing energy. We aim to be pioneers in developing smarter energy choices and delivering exceptional service as our retail electricity providers serve millions of residential and commercial customers through the country. In addition, we actively contribute to the local communities where NRG employees live and work. Since 2004, our positiveNRG program has provided millions of dollars to organizations and charities that have a direct impact on the lives of the people in our communities, including food banks and those that foster self-sufficiency, improve housing and provide supplemental education to people in need. NRG has also organized special responses for victims of extreme catastrophe, such as the Haitian earthquake and the Japanese tsunami in 2010 and most recently Houston Hurricane Harvey relief in 2017. Learn more about NRG: https://youtu.be/AI3-lFyEvCAConnect with NRG on LinkedIn, Facebook, Twitter or Instagram @nrgenergy."
133,133,Nvidia,"Santa Clara, CA",10000+ Employees,1993.0,Company - Public (NVDA),$5 to $10 billion (USD),www.nvidia.com,Computer Hardware Development,NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. We engineer technology for the da Vincis and Einsteins of our time. Our work in AI and the metaverse is profoundly impacting society and transforming the world’s largest industries. From gaming to ... Read more
134,134,Occidental Petroleum,"Houston, TX",10000+ Employees,1920.0,Company - Public (OXY),$10+ billion (USD),www.oxy.com,Energy & Utilities,"Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company with operations in the United States, Middle East and Latin America. Headquartered in Houston, Occidental is one of the largest U.S. oil and gas companies, based on equity market capitalization. Occidental's midstream and marketing segment gathers, processes, transports, stores, purchases and markets hydrocarbons and other commodities. OxyChem is a major North American chemical manufacturer.Occidental's success is built on technical expertise, business acumen, strong partnerships and proven ability to deliver lasting results. With approximately 35,000 employees and contractors worldwide at year-end 2015, we are committed to being a  Partner of Choice&reg; everywhere we operate.Occidental is committed to respecting the environment, operating safely and upholding high standards of social responsibility throughout the company's worldwide operations."
135,135,Salesforce,"San Francisco, CA",10000+ Employees,1999.0,Company - Public (CRM),$10+ billion (USD),www.salesforce.com,Enterprise Software & Network Solutions,"Salesforce is the #1 CRM, bringing companies and customers together in the digital age. Founded in 1999, Salesforce enables companies of every size and industry to take advantage of powerful technologies—cloud, mobile, social, voice, and artificial intelligence—to connect to their customers in a whole new way.  The Salesforce Customer 360 is an integrated CRM platform, powered by AI, that unites marketing, sales, commerce, IT and analytics departments. It gives these teams a single, shared view of their customers so they can work together to build lasting, trusted relationships and deliver the personalized experiences their customers expect. Salesforce is one of the leaders on Fortune’s Change the World list, and has been one of Fortune’s 100 Best Companies to Work For, for twelve years in a row. For information, please visit www.salesforce.com."
136,136,Dollar Tree,"Chesapeake, VA",10000+ Employees,,Company - Public (DLTR),$10+ billion (USD),www.dollartree.com,General Merchandise & Superstores,"Dollars may not grow on trees, but Dollar Tree stores work hard to bring in the green. The company operates more than 4,100 Dollar Tree, Deal$, Dollar Giant, and Dollar Bills discount stores in 48 US states and the District of Columbia, as well as about 85 stores in Canadian provinces. Stores carry a mix of housewares, toys, seasonal items, food, health and beauty aids, gifts, and books -- most priced at $1 or less. About 40% of merchandise is imported, primarily from China. The stores are located in high-traffic strip centers anchored by mass merchandisers, supermarkets, malls, and in small towns. Founded in 1986 as Dollar Tree Stores, the company reorganized in 2008 and changed its name to Dollar Tree, Inc."
137,137,KKR,"New York, NY",1001 to 5000 Employees,1976.0,Company - Public (KKR),Unknown / Non-Applicable,www.kkr.com,Investment & Asset Management,"KKR is a leading global investment firm that manages investments across multiple asset classes including private equity, energy, infrastructure, real estate, credit and hedge funds. KKR aims to generate attractive investment returns by following a patient and disciplined investment approach, employing world‐class people, and driving growth and value creation at the asset level. KKR invests its own capital alongside its partners' capital and brings opportunities to others through its capital markets business. References to KKR's investments may include the activities of its sponsored funds. For additional information about KKR & Co. L.P. (NYSE:KKR), please visit KKR's website at www.kkr.com and on Twitter @KKR_Co."
138,138,Kraft Heinz,"Chicago, IL",10000+ Employees,2015.0,Company - Public (KHC),$10+ billion (USD),www.kraftheinzcompany.com/,Food & Beverage Manufacturing,"The Kraft Heinz Company is one of the largest food and beverage companies in the world, with eight $1 billion  brands and global sales of approximately $25 billion. We’re a globally trusted producer of high-quality, great-tasting, and nutritious foods for over 150 years. While Kraft Heinz is co-headquartered in Chicago and Pittsburgh, our brands are truly global, with products produced and marketed in over 40 countries. These beloved products include condiments and sauces, cheese and dairy, meals, meats, refreshment beverages, coffee, infant and nutrition products, and numerous other grocery products in a portfolio of more than 200 legacy and emerging brands.We spark joy around mealtime with our iconic brands, including Kraft, Oscar Mayer, Heinz, Philadelphia, Lunchables, Velveeta, Maxwell House, Capri Sun, Ore-Ida, Kool-Aid, Jell-O, Primal Kitchen, and Classico, among others. No matter the brand, we’re united under one vision: To sustainably grow by delighting more consumers globally. Bringing this vision to life is our team of 39,000  food lovers, creative thinkers, and high performers worldwide. Together, we help provide meals to those in need through our global partnership with Rise Against Hunger. We also stand committed to responsible, sustainable practices that extend to every facet of our business, our consumers, and our communities. Every day, we’re transforming the food industry with bold thinking and unprecedented results. If you share our passion – and are ready to create the future, build a legacy, and lead as a global citizen – there’s only one thing to do: join our table and Let’s Make Life Delicious!"
139,139,Amgen,"Thousand Oaks, CA",10000+ Employees,1980.0,Company - Public (AMGN),$10+ billion (USD),www.amgen.com,Biotech & Pharmaceuticals," At Amgen, there is no choice but better.  Because going halfway will never get us to tomorrow. We’re transforming the promise of science and biotechnology into therapies that have the power to restore health. We leverage our global talent—22,000  scientists and professionals—to research, manufacture and deliver new medicines and reach millions of patients worldwide.  Amgen is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status. See our Community Guidelines: http://bit.ly/smcgl "
140,140,AutoNation,"Fort Lauderdale, FL",10000+ Employees,1996.0,Company - Public (AN),$10+ billion (USD),jobs.autonation.com,Vehicle Dealers,"As America’s largest and most admired automotive retailer, AutoNation is transforming the automotive industry through its bold leadership, innovation, and comprehensive brand extensions.  We are committed to hiring driven, diverse Associates and supporting them in growing their career within AutoNation. We offer paid training, competitive pay & benefits and a culture that believes in investing in our Associates’ professional futures. With over 300 locations from coast to coast, AutoNation has an opportunity for you. We’ve sold over 13 million vehicles, the first automotive retailer to reach this milestone. Our success is driven by our commitment to delivering a peerless Customer experience through customer-focused sales and service processes. We believe deeply in giving back, and every car we sell helps to raise cancer research and treatment awareness with a Pink Plate. For every vehicle we sell or service, we're driving towards $35 million donated to fight cancer.Join us as we pave the way to moving our company, our communities and our industry forward. Apply today at a location near you or wherever you dream the road will take you."
141,141,Penske Automotive Group,"El Monte, CA",1001 to 5000 Employees,1988.0,Subsidiary or Business Segment,$1 to $5 billion (USD),www.penskemotorgroup.com,Vehicle Dealers,"Penske Motor Group is an industry-leading automotive retailer with locations throughout California, including: Longo Toyota and Longo Lexus in El Monte, Lexus of Stevens Creek in San Jose, Mercedes-Benz of Marin in San Rafael and the future Longo Toyota of Prosper in North Dallas, Texas.   We offer a professional environment and ongoing training and growth with performance-based advancement.  This is a place where your future success is truly a result of your own efforts and achievements.  We cultivate a winning team spirit and promote passion for quality work.  Our Team Members are the driving force behind our success.  Each one is committed to delivering a world class experience.We offer: ■ Competitive Compensation  ■ Medical, Dental, Vision and Life Insurance ■ Short and Long Term Disability  ■ 401K with a generous company-match ■ Paid Time Off to include Vacation, Holidays, Bereavement and Jury Duty  ■ Extensive Training ■ Tuition Reimbursement■ Discounts■ Wellness Program with On-Site Coach"
142,142,PayPal Holdings,"San Jose, CA",10000+ Employees,1998.0,Company - Public (PYPL),$10+ billion (USD),www.paypal.com,Internet & Web Services,"At PayPal, we believe that now is the time to democratize financial services so that moving and managing money is a right for all citizens, not just the affluent. We are driven by this purpose, and we uphold our cultural values of collaboration, innovation, wellness and ... Read more"
143,143,Macy's,"New York, NY",10000+ Employees,1858.0,Company - Public (M),$10+ billion (USD),www.macysjobs.com ,"Department, Clothing & Shoe Stores","Macy's, Inc., one of America’s most enduring, storied brands, has grown into a digitally led omnichannel retailer, powered by our award-winning eCommerce platforms, stores, distribution centers and support teams across the country.Headquartered in our iconic Herald Square location on W. 34th St. in New York City, the company operates more than 700+ locations under the Macy’s, Inc. umbrella: Macy’s, Bloomingdale’s and Bluemercury. Our approximately 90,000 colleagues carry on the Macy’s tradition, more than 160 years strong of serving customers at every stage of their lives and delivering them fashion, style, value and celebration. Learn more about us at macysinc.com.Learn about open job opportunities at macysJOBS.com."
144,144,Duke Energy,"Charlotte, NC",10000+ Employees,1917.0,Company - Public (DUK),$10+ billion (USD),www.duke-energy.com,Energy & Utilities,"Duke Energy Corporation is an energy company headquartered in Charlotte, N.C. Its Regulated Utilities business unit serves 7.4 million retail electric customers in six states in the Southeast and Midwest regions of the United States, representing a population of approximately 24 million people. Duke Energy is a Fortune 125 company traded on the New York Stock Exchange under the symbol DUK. More information about the company is available at duke-energy.com."
145,145,United Airlines Holdings,"Chicago, IL",10000+ Employees,1926.0,Company - Public (UAL),$10+ billion (USD),www.united.com,"Airlines, Airports & Air Transportation","We're connecting people and uniting the world.We've paired the world's most comprehensive route network with our modern fleet, the most fuel-efficient among U.S. network carriers (when adjusted for cabin size). We have seven US hub locations, including hubs in the four largest cities in the United States and almost 90,000 employees residing in every U.S. state and in countries around the world.We also host an industry-leading loyalty program that provides more opportunities to earn and redeem miles worldwide and are leading the industry in our environmental initiatives.The time is right to join United. We're reinventing our company from the ground up, and opportunities exist for all experience levels. If you are a dedicated individual who is ready to move your career in a positive new direction, United Airlines is the place for you."
146,146,Visa,"Foster City, CA",10000+ Employees,1958.0,Company - Public (V),$10+ billion (USD),www.visa.com,Information Technology Support Services,"Visa (NYSE: V) is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive. We believe that economies that include everyone everywhere, uplift everyone everywhere and see access as foundational to the future of money movement. Learn more at Visa.com. "
147,147,Rite Aid,"Philadelphia, PA",10000+ Employees,1962.0,Company - Public (RAD),$10+ billion (USD),www.riteaid.com,Drug & Health Stores,"Rite Aid is a full-services pharmacy company that improves health outcomes. Rite Aid is defining the modern pharmacy through its large breadth and depth of assets including more than 6300 pharmacists, 2350 stores, a mail pharmacy, specialty pharmacy, prescription benefits manager company, and e-commerce. For more information, visit www.riteaid.com."
148,148,Cummins,"Columbus, IN",10000+ Employees,1919.0,Company - Public (CMI),$10+ billion (USD),www.cummins.com,Transportation Equipment Manufacturing,"Cummins is a place big enough to coach and develop a global workforce and create the world’s leading clean, engine technology. We’re also small enough for you to find your fit and personal passion with a team of dependable, innovative thinkers who are developing their careers within a diverse, inclusive, empowering environment.Cummins Inc., a global power technology leader, is a corporation of complementary business units that design, engineer, manufacture, distribute and service engines and related technologies, including fuel systems, controls, air handling, filtration, emission solutions and electrical power generation systems. Headquartered in Columbus, Indiana, we employ 60,000+ people worldwide and serve customers in approximately 190 countries and territories through a network of more than 500 company-owned and independent distributor locations and approximately 7,500 dealer locations. Cummins had net income of $1 billion and revenues of $20.4 billion in 2017."
149,149,U.S. Bancorp,"Minneapolis, MN",10000+ Employees,1863.0,Company - Public (USB),$10+ billion (USD),www.usbank.com,Banking & Lending,"We believe in putting people first, and our dedication to making ethical decisions and doing the right thing is at the heart of what we do. We work to meet our customers’ business and personal banking needs with competitive products and services, convenient access to their accounts and proven stability backed by industry-leading financial metrics. With more than 4,200 ATMs, more than 2,400 branch locations, 24-hour phone support and mobile and online banking, we make it easy for our customers to manage their money any time.Equal Housing Lender. Credit products are offered by U.S. Bank National Association and subject to normal credit approval. Some restrictions may apply. Deposit products offered by U.S. Bank National Association. Member FDIC."
150,150,Paccar,"Bellevue, WA",Unknown,,Company - Private,Unknown / Non-Applicable,www.paccarfinancial.com,,
151,151,McDonald's,"Chicago, IL",10000+ Employees,1955.0,Company - Public (MCD),$10+ billion (USD),www.mcdonalds.com,Restaurants & Cafes,"McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries and billions of customers served each year.  As the global leader in the food service industry, we have a legacy of innovation and hard work that continues to drive us. Today, we are growing with velocity and are focused on modernizing our experiences, not to make a different McDonald’s but to build a better McDonald’s. About 80% of the restaurants are run by franchisees or affiliates."
152,152,Southern,"Anaheim, CA",1 to 50 Employees,1987.0,College / University,$5 to $25 million (USD),www.scitech.edu,Colleges & Universities,
153,153,C.H. Robinson Worldwide,"Eden Prairie, MN",10000+ Employees,1905.0,Company - Public (CHRW),$10+ billion (USD),www.chrobinson.com,Shipping & Trucking,"Standing out among the world’s largest logistics platforms, C.H. Robinson solves logistics problems for companies across the globe and across industries, from the simple to the most complex. For 100+ years, our global suite of services has innovated trade to seamlessly deliver ... Read more"
154,154,Truist Financial,"Charlotte, NC",10000+ Employees,2019.0,Company - Public (TFC),$5 to $10 billion (USD),www.truist.com,Investment & Asset Management,"Truist is a top 10 US commercial bank, driven by a shared purpose to inspire and build better lives and communities. We strive every day to make things better for our clients, teammates, and communities—boldly believing in the power of what we can achieve together.At Truist, people come first, and every interaction with each other and our clients starts with care. We act as one team, united by our purpose, mission, and values. They’re the foundation of our culture, the starting point for every decision we make, and the single, most important factor in our long-term success.Working together to take care of people is more than the words we say—it’s who we are. Learn more about our culture and company at https://www.truist.com/who-we-are/about-truist. "
155,155,Applied Materials,"Santa Clara, CA",10000+ Employees,1967.0,Company - Public (AMAT),$10+ billion (USD),appliedmaterials.com,Electronics Manufacturing,"Applied Materials (Nasdaq: AMAT)  is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale enables customers to transform possibilities into reality. At Applied Materials, our innovations Make Possible a Better Future. "
