,Unnamed: 0,name,headquaters_location_city,headquaters_location_state,headquaters_location_country,headquaters_regions,founder,website_link,hub,num_employees_enum,last_funding_type,rank_org_company,IPO_status,industries,stock_symbol,description,founded_date,operating_status,also_known_as,company_type,legal_name,contact_phone,number_of_exits
95,95,CVS Health,Woonsocket,Rhode Island,United States,"['East Coast', 'New England', 'Northeastern US']","['Larry Merlo', 'Vijay Patel']",http://cvshealth.com/,[],10000+ Employees,Post-IPO Equity,"29,431",Public,"['Health Care', 'Medical', 'Pharmaceutical', 'Retail', 'Sales']",NYSE:CVS ,"Following its acquisition of Aetna in late 2018, CVS Health now provides an even more integrated healthcare services offering for its members.Legacy CVS combines both the largest pharmacy benefit manager, processing about 2 billion adjusted claims annually, and a sizable pharmacy operation, including nearly 10,000 retail pharmacy locations primarily in the United States. Adding a managed-care organization with about 22 million medical members gives the company a strong position in the insurance industry and should help CVS better control overall healthcare costs for its clients.The Woonsocket, Rhode Island-based company was launched by Larry Merlo in 1963.",1963,Active,"CVS, CVS Caremark, CVS/pharmacy",For Profit,,,1.0
96,96,Caesars Entertainment,Las Vegas,Nevada,United States,['Western US'],['William F. Harrah'],https://www.caesars.com/corporate,[],10000+ Employees,Post-IPO Debt,"1,369",Public,"['Casino', 'Gambling', 'Gaming', 'Hospitality']",NASDAQ:CZR ,"Caesars Entertainment operates casinos and hotels. The company was formerly known as Park Place Entertainment Corporation and changed its name to Caesars Entertainment, Inc. in January 2004. Caesars Entertainment was founded in 1998 and is headquartered in Las Vegas, Nevada. Caesars Entertainment, Inc. operates as a subsidiary of Harrah's Entertainment, Inc.",,,,,,,
97,97,Campbell Soup,Camden,New Jersey,United States,"['Greater Philadelphia Area', 'East Coast', 'Northeastern US']",['Joseph A. Campbell'],http://www.campbellsoupcompany.com/,[],10000+ Employees,,"154,234",Public,"['Food and Beverage', 'Manufacturing']",NYSE:CPB ,"Campbell Soup Company (Campbell) together with its subsidiaries, is a manufacturer and marketer of branded convenience food products. The Company operates in five segments: U.S. Simple Meals; Global Baking and Snacking; International Simple Meals and Beverages; U.S. Beverages; and North America Foodservice. In June 2012, the Company purchased 1300 Admiral Wilson Boulevard in Camden. On August 6, 2012, the Company completed the acquisition of BF Bolthouse Holdco LLC (Bolthouse Farms). In September 2012, Vilmorin & Cie SA acquired the tomato and pepper breeding and sales business of the Company. In June 2013, Campbell Soup Co completed the acquisition of Plum Organics. In August 2013, Campbell Soup Company completed the acquisition of Kelsen Group A/S. In October 2013, it completed the sale of its European simple meals business to CVC Capital Partners.",1869,,Active,For Profit,,,1.0
98,98,Camping World Holdings,Bowling Green,Kentucky,United States,['Southern US'],['Marcus Lemonis'],http://www.campingworld.com/,[],10000+ Employees,Venture - Series Unknown,"146,330",Public,"['E-Commerce', 'Retail', 'Shopping']",NYSE:CWH ,"In 2016, Camping World marks 50 years of offering specialized products, expert advice and great service to recreational vehicle owners and campers across North America. From our founding in 1966, they’ve grown from a single store in Bowling Green, Kentucky to the nation’s number one retailer of RVs, RV accessories and RV-related services, with over 115 SuperCenters nationwide, a state-of-the-art call center and an award-winning website.Over the last half century, Camping World has become the premier one-stop-shop for everything RVers need to enjoy living and traveling in their RVs, as well as a vital source of products and services to help RV owners maintain and protect their investment. Along with over 10,000 RV parts and accessories, we also offer a full selection of new and used RVs for sale; RV and tow vehicle service and maintenance; collision centers; RV Spa detail and refurbishment centers; technical advice from knowledgeable experts, and hard-to-find parts.",1966,,Active,For Profit,,,
99,99,Capital One Financial,Mclean,Virginia,United States,"['Washington DC Metro Area', 'East Coast', 'Southern US']","['Nigel Morris', 'Richard D. Fairbank']",http://www.capitalone.com,['Capital One Alumni Founded Companies'],10000+ Employees,,,,"['Banking', 'Credit Cards', 'Finance', 'Financial Services']",NYSE:COF ,"Capital One Financial Corporation, incorporated in July 21, 1994, is a diversified banking company focused primarily on consumer and commercial lending and deposit origination. Its principal business segments are Local Banking and National Lending. Local Banking includes consumer, small business and commercial deposits, and lending conducted within its branch network. The National Lending segment consists of three sub-segments:- The U.S. Card sub-segment, which consists of domestic consumer credit and debit card activities;- The Auto Finance sub-segment, which includes automobile and other motor vehicle financing activities,- The Global Financial Services sub-segment consisting of international lending activities, small business lending, installment loans, home loans, healthcare financing and other diversified activities.","Jul 21, 1994",Active,For Profit,"Nov 25, 1994",,,1.0
100,100,CarMax,Richmond,Virginia,United States,"['East Coast', 'Southern US']","['Austin Ligon', ""Mark F. O'Neil"", 'Martin Mindling']",http://www.carmax.com,[],10000+ Employees,Post-IPO Equity,"1,546",Public,"['Automotive', 'Online Portals', 'Retail']",FRA:XA4 ,"CarMax provides an online platform to search for new and used cars, research models, and compare cars.",1993,,Active,For Profit,,,1.0
101,101,Cardinal Health,Dublin,Ohio,United States,"['Great Lakes', 'Midwestern US']",['Robert Walter'],https://www.cardinalhealth.com,['Cardinal Health Alumni Founded Companies'],10000+ Employees,Post-IPO Debt,"60,782",Public,"['Health Care', 'Hospital', 'Medical']",NYSE:CAH ,"Cardinal Health is a Fortune 19 company that improves the cost-effectiveness of health care. As the business behind health care, Cardinal Health helps pharmacies, hospitals and ambulatory care sites focus on patient care while reducing costs, improving efficiency and quality, and increasing profitability. Cardinal Health employs more than 30,000 people worldwide. Cardinal Health focuses on improving people's lives through a link in the chain of care, pharmacies, hospitals, and clinics that rely to improve quality, safety and productivity.",1971,,Active,For Profit,,,1.0
102,102,Carlyle Group,Washington,District of Columbia,United States,"['Washington DC Metro Area', 'Southern US']",[],http://www.carlyle.com,"['The Carlyle Group Alumni Founded Companies', 'The Carlyle Group Portfolio Companies']",5001 to 10000 Employees,,,,"['Aerospace', 'Asset Management', 'Financial Services', 'Management Consulting']",NASDAQ:CG ,"The Carlyle Group is a company involved in the private equity industry primarily. They operate more than $81.1 billion of equity capital under management. The firm operates four fund families, focusing on leveraged buyouts, venture & growth capital, real estate, and leveraged finance investments. They recently opened up another arm for their hedge funds. The firm employs more than 575 investment professionals in 21 countries with several offices in North America, South America, Europe, Asia, and Australia; its portfolio companies employ more than 286,000 people worldwide. Carlyle has over 1200 institutional and private investors in 68 countries.",,,,,,,114.0
103,103,Carrier Global,Indianapolis,Indiana,United States,"['Great Lakes', 'Midwestern US']",['Willis Carrier'],https://www.carrier.com,[],10000+ Employees,Grant,"113,156",Public,"['Industrial Engineering', 'Mechanical Engineering']",NYSE:CARR ,"Carrier is a provider of healthy, safe, sustainable and intelligent building and cold chain solutions, Carrier Global Corporation is committed to making the world safer, sustainable and more comfortable for generations to come.",1902,Active,Carrier Corporation ,For Profit,,,
104,104,Carvana,Tempe,Arizona,United States,"['Greater Phoenix Area', 'Western US']","['Ernie Garcia', 'Ryan Keeton']",http://www.carvana.com/,[],5001 to 10000 Employees,Post-IPO Debt,132,Public,"['Automotive', 'Autonomous Vehicles', 'E-Commerce']",NYSE:CVNA ,"Founded in 2012 and based in Phoenix, Carvana’s mission is to change the way people buy cars. By removing the traditional dealership infrastructure and replacing it with technology and exceptional customer service, Carvana offers consumers an intuitive and convenient online car buying and financing platform. Carvana.com enables consumers to quickly and easily shop more than 15,000 vehicles, finance, trade in or sell their current vehicle to Carvana, sign contracts, and schedule as-soon-as-next-day delivery or pickup at one of Carvana’s patented, automated Car Vending Machines.",2013,,Active,For Profit,,,
105,105,Casey's General Stores,Ankeny,Iowa,United States,['Midwestern US'],['Don Lamberti'],http://caseys.com,[],10000+ Employees,Post-IPO Debt,"178,249",Public,"['E-Commerce', 'Food and Beverage']",NASDAQ:CASY ,"In 1959, Founder Don Lamberti leased a store from his father on East 14th and Broadway in Des Moines, Iowa. After nine years of operating this old country store, which he remodeled into a convenience store, Don's gas supplier and friend, Kurvin C. Fish, suggested that Don buy the Square Deal Oil Company.",1968,,Active,For Profit,,,
106,106,Caterpillar,Peoria Heights,Illinois,United States,"['Great Lakes', 'Midwestern US']","['Benjamin Hodel', 'Denise C. Johnson']",https://www.caterpillar.com,[],10000+ Employees,Grant,"29,083",Public,"['Construction', 'Machinery Manufacturing', 'Manufacturing', 'Mechanical Engineering', 'Women Founded']",EPA:CATR ,"Caterpillar Inc., is an American corporation which designs, manufactures, markets and sells machinery and engines and sells financial products and insurance to customers via a worldwide dealer network. Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. With more than US$89 billion in assets, Caterpillar was ranked number one in its industry and number 44 overall in the 2009 Fortune 500.Caterpillar stock is a component of the Dow Jones Industrial Average. Caterpillar Inc. traces its origins to the 1925 merger of the Holt Manufacturing Company and the C. L. Best Tractor Company, creating a new entity, the California based Caterpillar Tractor Company. In 1986, the company re-organized itself as a Delaware corporation under the current name, Caterpillar Inc. Caterpillar's headquarters are located in Peoria, Illinois, United States.Caterpillar machinery is recognizable by its trademark ""Caterpillar Yellow"" livery and the ""CAT"" logo.","Apr 15, 1925",,Active,For Profit,,,4.0
107,107,Celanese,Irving,Texas,United States,"['Dallas/Fort Worth Metroplex', 'Southern US']",['Sol Barer'],http://www.celanese.com,[],5001 to 10000 Employees,Grant,"4,615",Public,"['Chemical', 'Chemical Engineering', 'Manufacturing']",NYSE:CE ,"Celanese is a global technology and specialty materials company that engineers and manufactures a wide variety of products essential to everyday living.You can ""Be in Your Element"" at Celanese. We know it’s people who drive our innovation-focused growth strategy, and we know that the best people will thrive in a culture that both challenges and rewards performance financially and with new opportunities and innovation. Celanese is committed to research and development, will give you opportunities to work on interesting projects, and will challenge and reward your success.",1918,Active,For Profit,"Mar 15, 2004",,,1.0
108,108,Centene,St Louis,Missouri,United States,['Midwestern US'],['Elizabeth Brinn'],http://centene.com,[],10000+ Employees,,"11,730",Public,"['Enterprise', 'Health Care', 'Hospital']",NYSE:CNC ,"Centene Corporation is a managed healthcare enterprise at the forefront of innovation and growth for government-sponsored and commercial healthcare, providing access to fully integrated, high-quality, and cost-effective services that help people lead healthier lives. The company’s local approach addresses the needs of under-insured and uninsured individuals who often lack the resources required to sustain optimal health and wellness. Centene began as a single health plan in Milwaukee, Wisconsin in 1984. After an initial period of growth, Michael Neidorff joined as President and Chief Executive Officer (CEO) in 1996, moving Centene’s headquarters to St. Louis, Missouri, where it still resides today.In the decades since its humble beginnings, Centene has transformed into a publicly-traded Fortune 500 company serving communities across the United States. In fact, Centene provides coverage in all 50 U.S. states. More than 26 million Americans rely on Centene to access a wide range of insurance solutions, including Medicaid, Medicare, TRICARE, correctional, and behavioral health services. Centene prioritizes the development of technology that addresses systemic conditions impacting the whole health needs of underserved populations. As technology plays an increasingly critical role in diagnosing, managing, and treating disease, Centene understands that it enables better health outcomes for members, lessening the burden for providers, and allowing more automation and efficiency for business operations. As a steward of a significant set of data and insights, Centene leverages this data to not only shape but lead the digital transformation of healthcare and improve the patient-provider experience. Centene’s current CEO, Sarah London, and her team are leading the charge in this new age. Sarah London worked within Centene’s Technology Innovation and Modernization division, spearheading the company’s enterprise-wide technology strategy. Now leading Centene, her focus is on building the next generation of products and services and establishing Centene’s long-term growth and value creation. Although Centene has grown into the No. 1 insurer in the U.S. Health Insurance Marketplace, it has never lost its focus on the individual or its passion for community health. Remaining connected to the individuals and families that need care most is central to Centene’s commitment to shaping a better world of healthcare for the communities it serves. Centene also remains connected to the needs of its employees, who make Centene what it is. Through its commitment to diversity, equity, and inclusion practices, Centene promotes a safe and inviting environment above all. Because of Centene’s commitment to excellence and progression in the healthcare industry, it has been recognized as a Top Organization for Diversity by Modern Healthcare magazine, a Leading Disability Employer by the National Organization on Disability, a Best Place to Work for LGBTQ Equality by The Human Rights Campaign Foundation, and a global leader by Bloomberg’s Gender-Equality Index, among many other recognitions. Centene was also named a Top 50 Company for Diversity by DiversityInc and a Top Veteran-Friendly Company by U.S. Veterans Magazine. It has also been listed on FORTUNE® magazine's list of the World's Most Admired Companies for several consecutive years.",1984,,Active,For Profit,,,4.0
109,109,CenterPoint Energy,Houston,Texas,United States,"['Greater Houston Area', 'Southern US']",[],http://centerpointenergy.com/,[],5001 to 10000 Employees,Post-IPO Debt,"14,588",Public,"['Energy', 'Logistics', 'Natural Resources', 'Oil and Gas']",NYSE:CNP ,"CenterPoint Energy, Inc. is a domestic energy delivery company. The Company’s business segments include Electric Transmission and Distribution, Natural Gas Distribution, Competitive Natural Gas Sales and Services, Interstate Pipelines, Field Services and Other Operations. The Company serves metered customers primarily in Arkansas, Louisiana, Minnesota, Mississippi, Oklahoma and Texas. The company also owns a 58.3% interest in a midstream partnership it jointly controls with OGE Energy Corp. with operations in natural gas and liquids-rich producing areas of Oklahoma, Texas, Arkansas and Louisiana.",1866,,Active,For Profit,,,1.0
110,110,Charles Schwab,San Francisco,California,United States,"['San Francisco Bay Area', 'West Coast', 'Western US']",['Charles Schwab'],http://schwab.com,['Myhan Credit Union Alumni Founded Companies'],10000+ Employees,,"112,154",Public,"['Banking', 'Finance', 'Financial Services']",NYSE:SCHW ,"Charles Schwab is a financial services company that provides a full range of securities, brokerage, banking, money management, financial advisory, investor, and retirement plan services. It operates in four main divisions; investing, wealth management, banking, and trading. Charles Schwab provides a full-service brokerage platform that serves individual investors who invest on their own or through a workplace-sponsored retirement or equity plan, as well as banking through Schwab Bank.The firm was founded in 1973 and is headquartered in San Francisco, California.","Apr 1, 1973",Active,For Profit,Jan 2007,,,4.0
111,111,Charter Communications,Stamford,Connecticut,United States,"['East Coast', 'New England', 'Northeastern US']","['Barry Babcock', 'Howard Wood', 'Jerald L. Kent']",http://charter.com/,[],10000+ Employees,Post-IPO Debt,"3,079",Public,"['Internet', 'Media and Entertainment', 'Telecommunications']",NASDAQ:CHTR ,"Charter Communications, Inc., is an American telecommunications and mass media company that offers its services to consumers and businesses under the branding of Spectrum.",1993,,Active,For Profit,,,
112,112,Cheniere Energy,Houston,Texas,United States,"['Greater Houston Area', 'Southern US']",['Charif Souki'],http://www.cheniere.com,[],501 to 1000 Employees,,"149,557",Private,"['Energy', 'Oil and Gas', 'Renewable Energy']",,"Cheniere Energy, Inc. is an international energy company headquartered in Houston, Texas, and is the leading producer of liquefied natural gas in the United States. They provide clean, secure, and affordable energy to the world, while responsibly delivering a reliable, competitive, and integrated source of LNG, in a safe and rewarding work environment. Cheniere’s operations, construction and development also support energy and economic development across the United States. By 2020, Cheniere is expected to be a top-5 global provider of LNG.",1983,,Active,For Profit,,,
113,113,Chevron,San Ramon,California,United States,"['San Francisco Bay Area', 'West Coast', 'Western US']",['Johan Duramy'],http://www.chevron.com,['Chevron Alumni Founded Companies'],10000+ Employees,,"28,405",Delisted,"['Energy', 'Manufacturing', 'Natural Resources', 'Oil and Gas', 'Renewable Energy']",AMS:CHTEX ,"Chevron Corporation is one of the world's leading integrated energy and technology companies, with subsidiaries that conduct business worldwide under the Chevron, Texaco, and Caltex brands. The company's success is driven by the ingenuity and commitment of its employees and their application of the most innovative technologies in the world. Chevron explores for, produces and transports crude oil and natural gas; refines, distributes and markets transportation fuels and other energy products; manufactures and sells lubricants, additives and petrochemical products; produces geothermal energy and coal, and generates electricity; provides energy efficiency solutions; and develops the energy resources of the future, including biofuels and other renewables. Chevron is based in San Ramon, California.Become a fan on Facebook.com/ChevronVisit our channel on YouTube.com/ChevronFollow us on Twitter.com/Chevron",1879,,Active,For Profit,,,4.0
114,114,Chewy,Dania,Florida,United States,"['Greater Miami Area', 'East Coast', 'Southern US']","['Michael Day', 'Ryan Cohen']",https://www.chewy.com,[],10000+ Employees,Series F,399,Public,"['E-Commerce', 'Pet', 'Retail']",NYSE:CHWY ,"At Chewy, we view pets (and pet parents) as family and are obsessed with meeting their needs and exceeding customer expectations through every interaction. Customers love shopping our wide selection of products including more than 65,000 items (including our Private brands and Healthcare products), which we offer at competitive prices and fast 1-2 day shipping. Chewy’s commitment to customer service is the core of our brand, and our customers love us for it. We “WOW” pet parents through 24/7 assistance, advice and encouragement every day of the year. We make pet parenting easy with our convenient Autoship subscription program—which allows our customers to schedule their orders, so they never run out of their pet food, supplies and medication they need. Chewy is an experience company built on the back of product and technology. Innovation drives our operations and our team is constantly striving to find new and better ways to improve. From an easy-to-navigate website and highly-rated mobile apps, to detailed order tracking and personalized “Pet Profile” features, we are transforming the way pet parents shop.",,,,,,,
115,115,Chipotle Mexican Grill,Newport Beach,California,United States,"['Greater Los Angeles Area', 'West Coast', 'Western US']",['Steve Ells'],http://www.chipotle.com,[],10000+ Employees,,"88,527",Public,"['Food and Beverage', 'Hospitality', 'Restaurants']",NYSE:CMG ,"Chipotle Mexican Grill is a chain of restaurants in the US, UK, Canada, and France specializing in burritos and tacos. The company uses raw ingredients, classic cooking methods, and distinctive interior design--features that are more frequently found in the world of fine dining.Chipotle Mexican Grill was established in 1993 and is headquartered in Denver, Colorado, United States.",1993,,Active,For Profit,,,
116,116,Cigna,Bloomfield,Connecticut,United States,"['East Coast', 'New England', 'Northeastern US']","['David Cordani', 'Rick Brush']",http://www.cigna.com,['Cigna Alumni Founded Companies'],10000+ Employees,,"47,337",Public,"['Health Care', 'Medical']",NYSE:CI ,"CIGNA Corporation operates as a health service company in the United States. It helps to improve the health, well-being, and peace of mind of those it serves by making health care simple, affordable, and predictable.",1982,,Active,For Profit,,,3.0
117,117,Cincinnati Financial,Fairfield,Ohio,United States,"['Great Lakes', 'Midwestern US']","['John J. Schiff Sr', 'Robert C Schiff Sr']",https://www.cinfin.com/,[],5001 to 10000 Employees,,"155,909",Public,"['Auto Insurance', 'Finance', 'Financial Exchanges', 'Financial Services', 'Insurance']",NASDAQ:CINF ,"In 1950, four independent insurance agents formed The Cincinnati Insurance Company. Their dedication and commitment to the independent agency system remains their mission as they keep agents at the center of their identity.They believe that locally based agents have the relationships in their communities that lead to satisfied, loyal policyholders. They complement the service you receive from your local agent by employing local field representatives who are supported by associates at their headquarters in Fairfield, Ohio. These empowered field representatives take action to respond to agents and policyholders quickly and personally.",1950,,Active,For Profit,,,
118,118,Cintas,Cincinnati,Ohio,United States,"['Great Lakes', 'Midwestern US']",['Richard Farmer'],http://www.cintas.com,[],10000+ Employees,,"115,466",Public,"['Compliance', 'Manufacturing', 'Public Safety', 'Rental', 'Rental Property', 'Training']",NASDAQ:CTAS ,"Headquartered in Cincinnati, OH, Cintas Corporation provides highly specialized services to businesses of all types throughout North America.Cintas operates more than 420 facilities in the U.S. and Canada, including four manufacturing plants and eight distribution centers that employ more than 30,000 people.Company revenues were $3.5 billion in fiscal year 2010. Net income for the year was $216 million, and earnings per diluted share were $1.49.Cintas was founded by Richard T. Farmer, Chairman Emeritus. Scott Farmer was appointed Chief Executive Officer in 2003 and Bob Kohlhepp serves as Chairman of the Board.",1968,,Active,For Profit,,,
119,119,Cisco Systems,San Jose,California,United States,"['San Francisco Bay Area', 'Silicon Valley', 'West Coast']","['Ashwath Nagaraj', 'Dmetrius White', 'Leonard Bosack', 'Robert Hubbard', 'Sandy Lerner']",http://www.cisco.com,"['Robert Hubbard', 'Cisco Alumni Founded Companies', 'Cisco Portfolio Companies']",10000+ Employees,Series A,"3,929",Public,"['Communications Infrastructure', 'Enterprise Software', 'Hardware']",NASDAQ:CSCO ,"Cisco enables people to make powerful connections whether in business, education, philanthropy, or creativity. Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible, providing easy access to information anywhere, at any time.The company offers switching products, including fixed-configuration and modular switches, and storage products that provide connectivity to end users, workstations, IP phones, wireless access points, and servers; and next-generation network routing products that interconnect public and private wireline and mobile networks for mobile, data, voice, and video applications.Cisco was founded in 1984 by a small group of computer scientists from Stanford University. Since the company's inception, Cisco engineers have been leaders in the development of Internet Protocol (IP)-based networking technologies.The company is presently headquartered at San Jose, California.",,,,,,,99.0
120,120,Citigroup,New York,New York,United States,"['Greater New York Area', 'East Coast', 'Northeastern US']",['Sanford Weill'],https://www.citigroup.com,"['Citi Alumni Founded Companies', 'Citi Portfolio Companies']",10000+ Employees,Post-IPO Equity,,,"['Banking', 'Credit Cards', 'Financial Services', 'Wealth Management']",NYSE:C ,"Citigroup is a diversified financial services holding company that provides various financial products and services.The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services.Citigroup Inc. was founded in 1812 and is based in New York, United States.",,,,,,,33.0
121,121,Citizens Financial Group,Providence,Rhode Island,United States,"['East Coast', 'New England', 'Northeastern US']",['Garrett Smith'],https://www.citizensbank.com/,['Citizens Bank Portfolio Companies'],10000+ Employees,,"40,757",Public,"['Banking', 'Credit Cards', 'Financial Services', 'FinTech', 'Retail']",NYSE:CFG ,"Citizens Bank is a leading Technology Website that focuses on the latest trends and updates on technology, Gadgets, IoT, AI, Enterprise Tech, SEO, SMO etc.We also provides services on website designing , Seo and smo services.visit us on-https://technologydrift.com/websitedesigning-SEO-SMO/",1828,Active,Citizens Financial Group,For Profit,,,6.0
122,122,Cleveland-Cliffs,Cleveland,Ohio,United States,"['Great Lakes', 'Midwestern US']",['Samuel Livingston Mather'],http://www.clevelandcliffs.com/English/home/default.aspx,[],5001 to 10000 Employees,Post-IPO Debt,"4,442",Public,"['Mining', 'Mining Technology', 'Natural Resources', 'Precious Metals', 'Sales']",NYSE:CLF ,"Cliffs Natural Resources, formerly Cleveland-Cliffs, is a Cleveland, Ohio business firm that specializes in the mining and beneficiation of iron ore and the mining of coal. The firm is an independent company whose shares are traded on the New York Stock Exchange. Cliffs’ primary operations are organized and managed according to product category and geographic location: U.S. Iron Ore, Eastern Canadian Iron Ore, Asia Pacific Iron Ore, and North American Coal.","Jan 1, 1847",,Active,For Profit,,,
123,123,Clorox,Oakland,California,United States,"['San Francisco Bay Area', 'West Coast', 'Western US']","['Archibald Taft', 'Charles Husband', 'Edward Hughes', 'Rufus Myers', 'William Hussey']",https://www.thecloroxcompany.com/,['The Clorox Company Alumni Founded Companies'],5001 to 10000 Employees,,"133,798",Public,"['Manufacturing', 'Medical']",NYSE:CLX ,"Clorox is a global company with leading brands that have become household names: their namesake bleach and cleaning products; Green Works® naturally derived cleaning products; Ayudín® and Poett® home care products; Pine-Sol® dilutable cleaner; Fresh Step® cat litter; Kingsford® charcoal; Hidden Valley® and K C Masterpiece® dressings and sauces; Brita® water filtration products; Glad® bags, wraps and containers; and Burt's Bees® natural personal care products. They manufacture products in more than two dozen countries and market them in more than 100 countries. Clorox trades on the New York Stock Exchange under the symbol CLX.",1913,,Active,For Profit,,,
124,124,Coca-Cola,Atlanta,Georgia,United States,"['Greater Atlanta Area', 'East Coast', 'Southern US']","['Dave Lim', 'Jason Hosking']",https://www.coca-colacompany.com,['The Coca-Cola Company Alumni Founded Companies'],10000+ Employees,,"95,933",Public,"['Food and Beverage', 'Food Processing', 'Manufacturing']",NYSE:KO ,"The Coca-Cola Company and distributes coke, diet coke, and other soft drinks worldwide. The company primarily offers nonalcoholic beverages, including sparkling beverages and still beverages. Its sparkling beverages include nonalcoholic ready-to-drink beverages with carbonation such as carbonated energy drinks, and carbonated waters and flavored waters. The company’s still beverages comprise nonalcoholic beverages without carbonation, including noncarbonated waters, flavored and enhanced waters, noncarbonated energy drinks, juices and juice drinks, ready-to-drink teas and coffees, and sports drinks. It also provides flavoring ingredients, sweeteners, beverage ingredients, and fountain syrups as well as powders for purified water products. The Coca-Cola Company sells its products primarily under the Coca-Cola, Diet Coke, Coca-Cola Light, Coca-Cola Zero, Sprite, Fanta, Minute Maid, Powerade, Aquarius, Dasani, Glacéau Vitaminwater, Georgia, Simply, Minute Maid Pulpy, Del Valle, Ayataka, Bonaqua/Bonaqa, and Schweppes brand names. The Coca-Cola Company was founded in 1886 and is headquartered in Atlanta, Georgia.",1892,Active,"Coca Cola, Coca Cola Company, Coca-Cola, Coca-Cola Company, Coke",For Profit,,,8.0
125,125,Coinbase Global,San Francisco,California,United States,"['San Francisco Bay Area', 'West Coast', 'Western US']","['Brian Armstrong', 'Fred Ehrsam']",http://www.coinbase.com,['Coinbase Alumni Founded Companies'],5001 to 10000 Employees,Secondary Market,102,Public,"['Bitcoin', 'Blockchain', 'Cryptocurrency', 'FinTech', 'Trading Platform']",NASDAQ:COIN ,"Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency. It allows its users to create their own bitcoin wallets and start buying or selling bitcoins by connecting with their bank accounts. Also, it provides a series of merchant payment processing systems and tools that support many highly-trafficked websites on the internet. Coinbase was launched in 2012 with a mission to create an open financial system for the world. It is operated from San Francisco, California.",2012,,Active,For Profit,,,
126,126,Colgate-Palmolive,New York,New York,United States,"['Greater New York Area', 'East Coast', 'Northeastern US']",['William Colgate'],http://colgatepalmolive.com,['Colgate Palmolive Alumni Founded Companies'],10000+ Employees,Post-IPO Equity,409,Public,"['Beauty', 'Consumer Goods', 'Health Care']",NYSE:CL ,"Colgate-Palmolive Company (Colgate) is a consumer products company whose products are marketed in over 200 countries and territories throughout the world. It operates in two segments: Oral, Personal and Home Care and Pet Nutrition. Oral Care business products include Colgate Total, Colgate Sensitive Pro-Relief, Colgate Max Fresh, Colgate Optic White, and Colgate Luminous White toothpastes, Colgate 360° manual toothbrushes and Colgate and Colgate Plax mouth rinses. Colgate's Oral Care business also includes dental floss and pharmaceutical products for dentists and oral health professionals. Its Personal Care products also include Palmolive, Softsoap and Sanex brand shower gels, Palmolive, Irish Spring, and Protex bar soaps and Speed Stick, Lady Speed Stick and Sanex deodorants and antiperspirants. It sells liquid hand soap under the Palmolive, Protex and Softsoap brands. Colgate, through its Hill's Pet Nutrition segment (Hill's), manufactures pet nutrition products for dogs and cats.",1806,,Active,For Profit,,,
127,127,Comcast,Philadelphia,Pennsylvania,United States,"['Greater Philadelphia Area', 'Great Lakes', 'Northeastern US']","['Daniel Aaron', 'Diane Yu', 'Julian Brodsky', 'Ralph J. Roberts']",http://corporate.comcast.com,['Comcast Alumni Founded Companies'],10000+ Employees,Grant,31,Public,"['Internet', 'Telecommunications', 'TV', 'Video', 'Web Hosting']",NASDAQ:CMCSA ,"Comcast Corporation is a global media and technology company with two primary businesses, Comcast Cable and NBCUniversal. Comcast Cable is one of the nation’s largest video, high-speed internet, and phone providers to residential customers under the XFINITY brand, and also provides these services to businesses. It also provides wireless and security and automation services to residential customers under the XFINITY brand.NBCUniversal operates news, entertainment, and sports cable networks, the NBC and Telemundo broadcast networks, television production operations, television station groups, Universal Pictures, and Universal Parks and Resorts.","Jun 28, 1963",Active,"COMCAST CORP, Comcast Holdings",For Profit,,,5.0
