,Unnamed: 0,name,Pros,Cons
125,125,Advanced Micro Devices,University relations people were great and reached out after graduation to set up interviews for full time roles. (in 311 reviews)<br/>Flexibility and good work/life balance (in 257 reviews)<br/>AMD appears to be concerned about the employee and does provide good benefits and health perks for the employee and family. (in 119 reviews)<br/>Good salary and other benifits (in 111 reviews)<br/>Culture is good and very much like one family (in 110 reviews),Bad management and there is always a downsizing somewhere (in 156 reviews)<br/>Not profitable lately and annual layoff have been demoralizing (in 121 reviews)<br/>Low compensation especially for long timers (in 44 reviews)<br/>Bad upper management. (in 41 reviews)<br/>(2) The senior management is increasingly adopting an engineer unfriendly approach (think of Google<br/>then reverse it). (in 34 reviews)
126,126,Fiserv,Good work life balance and can manage healthy personal life (in 647 reviews)<br/>Great people and lots of Subject Matter Experts to help get you up to speed. (in 400 reviews)<br/>Good benefits that are not insurance related. (in 338 reviews)<br/>The pay is good but I think for the amount of work they have us do we should make more money. (in 206 reviews)<br/>Good salary if you get hike while joining other wise every year 7 to 8 percent hike you can aspect (in 164 reviews),Poor management that are not supportive but will look to use you as a scape goat if you are not within their personal friends circle. (in 385 reviews)<br/>Managers don\'t do a good job of managing and terrible job of performance reviews. (in 161 reviews)<br/>Bad culture and not client centric (in 120 reviews)<br/>Senior leadership (up to Jeff Yabuki) is obsessed with the number of hours worked. (in 117 reviews)<br/>Blames managers for poor upper management (in 113 reviews)
127,127,Estée Lauder,Great benefits and PTO. (in 315 reviews)<br/>Great people and very friendly. (in 180 reviews)<br/>Great culture and high (in 99 reviews)<br/>Good work life balance 9 (in 95 reviews)<br/>Lots of freebies and great training (in 69 reviews),It’s a shareholder driven company so the salaries are kept low with below inflation raises when given. (in 123 reviews)<br/>High goals and depending on which stores you go to bad management (Ulta’s) not Estée lauder (in 105 reviews)<br/>low pay compared to other cosmetics companies (in 96 reviews)<br/>Long hours and very competitive (in 74 reviews)<br/>Some managers need to work on their people management skills (in 52 reviews)
128,128,Bank of New York Mellon,Good work life balance so you can manage your professional and personal life together very good (in 803 reviews)<br/>People were great and i enjoyed that no one had any egos when it came to assignments at hand. (in 617 reviews)<br/>Provides good benefits and very flexible when it comes to handling personal matters outside of work. (in 577 reviews)<br/>Culture is good and diversity (in 215 reviews)<br/>Good work culture and Values (in 191 reviews),Low pay and top to bottom mentality (in 446 reviews)<br/>Management (for the most part) has poor communication and does not know how to manage without micromanaging. (in 443 reviews)<br/>salaries can be low and untransparent. (in 314 reviews)<br/>Top level managers have no clue what is going on in the day to day running (in 203 reviews)<br/>frequent layoffs in last 2 (in 141 reviews)
130,130,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals offers great benefits (in 137 reviews)<br/>The people are great and they stood out to me as all very humble people. (in 104 reviews)<br/>Company Culture is great and supportive (in 92 reviews)<br/>Standard PTO policy but good pay increases every year with a generous year end bonus. (in 74 reviews)<br/>The salaries are good compared to other companies in the area and there are weekend bonus hours which are great. (in 30 reviews),Poor management and politics with different departments/ groups/ team. (in 67 reviews)<br/>No work life balance; management doesn\'t know how to properly resource the dept. (in 60 reviews)<br/>Some of the managers have no clue how to do people management but only blame others. (in 35 reviews)<br/>Very demanding and long hours (in 26 reviews)<br/>Long hours due to growth curve (in 23 reviews)
131,131,Land O'Lakes,Great benefit options for a good price. (in 61 reviews)<br/>Great People very good 401 (in 40 reviews)<br/>The pay is good for the most part (in 36 reviews)<br/>Great culture and values. (in 32 reviews)<br/>Land O\'Lakes provides good work / life balance (in 19 reviews),us v them<br/>poor management (in 29 reviews)<br/>long hours and long nights (in 10 reviews)<br/>Communication is poor (in 9 reviews)<br/>Poor Managers are protected by HR. (in 8 reviews)<br/>They went through a transition where they basically took everyone from Ingersoll Rand\'s upper management and w/in a year made huge purchases to Oracle that were over (in 7 reviews)
132,132,Cheniere Energy,Benefits are good. (in 20 reviews)<br/>great people and compensation package (in 12 reviews)<br/>The pay was good. (in 7 reviews)<br/>Very good salary<br/>cooperative employees<br/>helpful and nice people (in 6 reviews)<br/>Amazing Bonuses at the end of the year (in 4 reviews),HR Management is absolutely terrible. (in 9 reviews)<br/>Culture is toxic<br/>HR is unengaged<br/>caliber of typical employee is unimpressive (in 6 reviews)<br/>Most of the good managers are leaving for another LNG company. (in 3 reviews)
133,133,Southwest Airlines,401k benefits are great and so are retirement options. (in 513 reviews)<br/>This company has tremedous value for culture and a great environment (in 314 reviews)<br/>People there are great and are willing to help out (in 231 reviews)<br/>Flight benefits are great if you\'re the kind of person who loves to travel with no guarantees. (in 196 reviews)<br/>It is very fun and the pay is great. (in 171 reviews),They have a record of poor management at local cities. (in 105 reviews)<br/>The only cons I can think of are the long hours and weather conditions at times. (in 66 reviews)<br/>No work life balance for the first 5 years at least (in 41 reviews)<br/>Managers do not do reviews the same way (in 31 reviews)<br/>Low salaries for Customer Relations (in 29 reviews)
134,134,Adobe,Great benefits: the company cares about employee wellbeing and is very transparent (in 819 reviews)<br/>Good work/life balance (the lights would always turn off at HQ around 5:30!) (in 816 reviews)<br/>Great people and some of the smartest minds in the world (in 571 reviews)<br/>Great Culture and perks. (in 507 reviews)<br/>Work culture is good and the learn and grow (in 318 reviews),Poor Management skill by middle managers (in 192 reviews)<br/>not potential managers to raise employee to get better perks only handfull managers are there who are good. (in 181 reviews)<br/>There is an annual layoff that is not really publicized but happens even in great financial years. (in 70 reviews)<br/>No work from home policy (in 62 reviews)<br/>10. Senior management does not jot any growth plan. (in 47 reviews)
135,135,Synchrony Financial,Also great benefits and 401k (in 229 reviews)<br/>Great Culture and traning oppurtunities. (in 107 reviews)<br/>Very flexible and good work life balance (in 99 reviews)<br/>Military and Physically challenged people great place for them. (in 73 reviews)<br/>Pay was good plus shift Remote (in 59 reviews),Less salaries and not as good as competitors (in 57 reviews)<br/>I loved my job and what I did but was passed around and had 3 different managers and clients in an 8 month span. (in 26 reviews)<br/>Lack of management skills and favoritism amongst employees. (in 15 reviews)<br/>The office politics are also real. (in 9 reviews)<br/>Upper management seems disconnected from the struggles of the lower levels of the organization. (in 8 reviews)
136,136,Corteva,Benefits are good. (in 52 reviews)<br/>Work life balance is good (in 43 reviews)<br/>Pay is good (in 40 reviews)<br/>Met some great people in this industry (in 34 reviews)<br/>life balance<br/>good salary (in 23 reviews),There are no metrics to track over/underachievers and that applies to management as well. (in 23 reviews)<br/>Poor leadership. (in 9 reviews)<br/>Managers and Directors don\'t hold one another accountable. (in 7 reviews)<br/>Long hours depending on season (in 5 reviews)<br/>offs can and do occur and some years you may not get your full bonus. (in 3 reviews)
137,137,Fidelity National Financial,They are not afraid to pay for performance and the benefits are good. (in 35 reviews)<br/>Work life balance is good (in 31 reviews)<br/>Great people to work with (in 23 reviews)<br/>Good pay for night shift (in 17 reviews)<br/>Free transport and food. (in 16 reviews),Management was poor. (in 43 reviews)<br/>salary is less (in 29 reviews)<br/>Good manager pushed out in January and now mass firings are routine. (in 17 reviews)<br/>No training is provided to enhance your skills. (in 11 reviews)<br/>Upper management was just absent<br/>meaning not involved with day to day. (in 11 reviews)
138,138,DTEEnergy,Good pay and it is remote work (in 79 reviews)<br/>good benefits and security for future (in 58 reviews)<br/>good people and fun times (in 53 reviews)<br/>Corporate culture is great (in 30 reviews)<br/>It\'s a very stable company and with excellent job security. (in 22 reviews),Poor management and too much politics (in 30 reviews)<br/>Some of the managers do not give enough responsibilities to students. (in 9 reviews)<br/>Bad Supervisors (in 9 reviews)<br/>Senior management is a mixed bag. (in 7 reviews)<br/>Upper management seems to have some clear ideas on how to improve the company<br/>but it sometimes feels as though that gets lost in translation at mid (in 4 reviews)
139,139,Murphy USA,Good benefits (in 10 reviews)<br/>1. Coworkers are friendly and help out. (in 8 reviews)<br/>Great people to work for (in 8 reviews)<br/>Flexible Schedule when trying to pursue school (in 5 reviews)<br/>Great culture and consistent Core Values (in 5 reviews),Low pay but doing a lot of work (in 20 reviews)<br/>Long hours without a break (in 12 reviews)<br/>No work life balance. (in 9 reviews)<br/>Work you 14 hours with out a break<br/>corporate management has no idea how to run a store<br/>scheduling was an absolute nightmare (in 8 reviews)<br/>You could have a great manager or a terrible manager (Store Manager<br/>District Manager<br/>Division Manager<br/>ALL managers) and as such<br/>your experience varies greatly even just by the store you\'re in. (in 7 reviews)
140,140,Halliburton,Benefits are good and if you work in the field they provided food and shelter. (in 552 reviews)<br/>Good pay when oil prices are high (in 331 reviews)<br/>The people you work around are great people that will go well beyond to help you learn your job. (in 255 reviews)<br/>The company gave me great training and tons of valuable experience which have really helped my career. (in 164 reviews)<br/>Salary is good and acceptable (in 157 reviews),And poor management again (in 234 reviews)<br/>Long hours and a lot of work ( I expected this and have no problem with it) (in 196 reviews)<br/>No work Life Balance\' Pay continues to be dropped seems on a monthly basis. (in 156 reviews)<br/>Frequent layoffs due to oil and gas industry instability. (in 112 reviews)<br/>They need to have more in place that keeps bad managers from stopping their employees growth. (in 81 reviews)
141,141,Automatic Data Processing,Great benefits and longevity with a company who\'s credit rating always renamed above the entire country itself. (in 1227 reviews)<br/>Flexible and good work life balance (in 916 reviews)<br/>You will feel like you have great support and people to guide you to where you need to be. (in 730 reviews)<br/>Been working for Adp going 3 years now and the culture is great.. the managers especially mine is very suportive (in 706 reviews)<br/>Very flexible and good pay (in 527 reviews),Management is poor and deceitful (in 574 reviews)<br/>Bad managers (hiring managers with no technical skills. (in 352 reviews)<br/>Middle and upper management had too much change in personnel and directions. it was very discouraged and confusion. (in 123 reviews)<br/>Hours are long and unflexible (in 119 reviews)<br/>They have blackout months at the end of the year that you cannot take time off during (in 92 reviews)
143,143,BorgWarner,Great people to work with and extreme willingness to help you grow if you show interest and the want to improve. (in 74 reviews)<br/>Benefits are good (in 66 reviews)<br/>Pay is good and you keep busy (in 44 reviews)<br/>good work life balance and learning (in 28 reviews)<br/>Salaries are good (in 28 reviews),Poor management training. (in 42 reviews)<br/>Long Hours and old fashion policies. (in 12 reviews)<br/>employees get fired for no good reason and is dependent on the manager (in 12 reviews)<br/>Upper Management was bad at their jobs (in 10 reviews)<br/>Poor communication between different locations and business units. (in 9 reviews)
144,144,Nordstrom,Great benefits and it’s great having the liberty to be able to manage your own team and department (in 1256 reviews)<br/>When you work for stock and web department the job is usually Independent and good pay (in 1234 reviews)<br/>The people are great and its one of the best retail environments out there depending on the store (in 1067 reviews)<br/>I had great coworkers and we were able to make the day to day processes better than some other jobs of similar nature (in 549 reviews)<br/>comfortable and fun work environment (in 352 reviews),Poor management and not professional (in 1116 reviews)<br/>Most managers don\'t care and will issue a return even if it is a sketchy or fraudulent activity. (in 938 reviews)<br/>Long hours on your feet and most days you aren\'t able to wear comfortable shoes (in 744 reviews)<br/>When it\'s slow you can\'t make commission and your check ends up being a joke (in 595 reviews)<br/>There is absolutely no work life balance at any level than a store manager and above. (in 512 reviews)
146,146,Guardian Life Ins. Co. of America,Benefits are good...but expensive....retirement is good... most hired will never see any part of their hard work placed on their behalf towards their retirement. (in 98 reviews)<br/>Work life balance is good (in 63 reviews)<br/>I worked for this company for 10 years and the people were great and always willing to help when needed. (in 63 reviews)<br/>Have flexible work from home ability as some jobs never really require to come into the office. (in 43 reviews)<br/>Decent pay and not a very difficult job. (in 40 reviews),Unfortunately 2 departments have now shut down in Tempe due to horrible retention because of poor management (in 61 reviews)<br/>Salary is less compared to outside market (in 26 reviews)<br/>Certain managers essentially relied on the person one step below them in the supervisory hierarchy to pretty much do their job for them (in 26 reviews)<br/>Senior management also relies heavily on consulting firms to provide guidance and direction; however<br/>senior management is not consistent in or persistent withapplying recommendations to effect the cultural change<br/>sales and financial results they are looking for. (in 21 reviews)<br/>No care to employees<br/>upper management doesn\'t care about you<br/>the only thing they care about is to get the work done. (in 17 reviews)
147,147,Pioneer Natural Resources,Great benefits and family like community. (in 60 reviews)<br/>Great people and family culture (in 23 reviews)<br/>Great pay and insurance. (in 22 reviews)<br/>They take care of employees when things are booming. (in 13 reviews)<br/>Great values and culture. (in 12 reviews),Management was horrible from the top all the way down. (in 14 reviews)<br/>if you\'re here a certain amount of time you\'re a manager no matter your capabilities (in 7 reviews)<br/>Had back to back big layoffs (2019 (in 7 reviews)<br/>Long hours in some departments (in 5 reviews)<br/>None due to the fact all personnel from the top to the bottom have the best communication. (in 4 reviews)
148,148,AutoZone,The pros of working at Autozone is you get a 20 percent discount and you meet great people (in 250 reviews)<br/>Good benefits for all the employees (in 187 reviews)<br/>Great coworkers and the discount (in 102 reviews)<br/>Flexible schedule and constantly hiring (in 71 reviews)<br/>The autozone culture is great and inclusive. (in 60 reviews),They expect you to be able to be able to do so much for such a low pay. (in 517 reviews)<br/>over all there are so many cons it wold take all day just to list them but the main con is poor management (in 239 reviews)<br/>The upper management is terrible no matter what store or district you are in. (in 201 reviews)<br/>Long hours and very competitive (in 158 reviews)<br/>And yet I just helped train two new part time sales associates and a BRAND NEW COMMERCIAL MANAGER. (in 143 reviews)
149,149,Lam Research,Good benefits relative to industry (in 169 reviews)<br/>Great people to work with and learn from (in 105 reviews)<br/>The working group is good and the pay is good (in 80 reviews)<br/>Small group culture is good (in 69 reviews)<br/>Strong Core Values (in 63 reviews),no work life balance and too busy (in 105 reviews)<br/>This means that good techs or engineers become bad managers. (in 39 reviews)<br/>If you don\'t like working a lot or long hours don\'t look here. (in 23 reviews)<br/>life balance due to working every weekend (in 20 reviews)<br/>Upper management is disconnected. (in 19 reviews)
150,150,American Family Insurance Group,There are always people and teams you can get along with and have a good work/life balance. (in 1642 reviews)<br/>The benefits are great and the array of what you are eligible for is impressive. (in 965 reviews)<br/>Most of the people are great; I built great friendships with a lot of the people there. (in 703 reviews)<br/>Culture is great and respect among employees is really good (in 678 reviews)<br/>Pay was good and laid back work (in 430 reviews),Base salary was low but once commission kicked in it was well worth the wait. (in 325 reviews)<br/>Poor management team leads will overlook blatant collection law violations to achieve their teams numbers even to the point of lying to their card members (in 261 reviews)<br/>The odds of getting and keeping a great manager are slim to none. (in 144 reviews)<br/>Limited growth opportunities and learning (in 78 reviews)<br/>long hours and schedules include weekends (in 63 reviews)
151,151,Illinois Tool Works,Benefits are good and reasonably priced (in 127 reviews)<br/>Most of the people are great but some are poisonous. (in 65 reviews)<br/>Pay is Good (in 40 reviews)<br/>Great culture and result driven (in 27 reviews)<br/>good work life balance most of the time (in 19 reviews),poor management<br/>style was out of the 1960 (in 38 reviews)<br/>Low Salary Increases and no bonuses (in 20 reviews)<br/>Pay scale is low and poor leadership (in 18 reviews)<br/>They talk about a collaborative work place but upper management do not follow it. (in 13 reviews)<br/>Typically the poor managers go through lots of turnover for a few years before HR finally steps in. (in 11 reviews)
152,152,Parker-Hannifin,good benefits and general corporate communciations (in 206 reviews)<br/>The people worked with were great and very approachable. (in 186 reviews)<br/>Every one was helpfull and freiendly with a good pay. (in 144 reviews)<br/>A great culture and good values (in 45 reviews)<br/>Good work environment for all (in 42 reviews),Poor management And the top level (in 134 reviews)<br/>No raises<br/>very poor upper management<br/>bad coffee<br/>you name it. (in 47 reviews)<br/>Top managers disproportionately compensated compared to mid (in 28 reviews)<br/>Frequent restructuring and layoffs per years (in 23 reviews)<br/>No communication to non (in 19 reviews)
153,153,Otis Worldwide,Flexable<br/>good benefits<br/>always busy (in 77 reviews)<br/>The people here are great and very supportive. (in 53 reviews)<br/>Brilliant and pay is good (in 51 reviews)<br/>Balance work life good culture (in 27 reviews)<br/>Salary was good. (in 21 reviews),Bad management and bad attitudes (in 64 reviews)<br/>No work life balance (in 32 reviews)<br/>A few managers have been in their positions for a long time and really have no management skills what so ever. (in 28 reviews)<br/>Travel<br/>lack of manager support<br/>lack of structure<br/>poor training<br/>short (in 12 reviews)<br/>Long hours and not enough help for big jobs (in 11 reviews)
154,154,Omnicom Group,Great people that treat you with respect (in 31 reviews)<br/>Good benefits<br/>especially for long (in 11 reviews)<br/>Good Pay (in 10 reviews)<br/>This used to be a great place with good culture. (in 6 reviews)<br/>\'Good guidance from managers<br/>friendly colleagues\' (in 5 reviews),Long hours but he challenge is fine (in 10 reviews)<br/>Also like many businesses<br/>senior management could be cliquish<br/>some people seemed protected (in 4 reviews)<br/>You have to do so many different jobs with low salary. (in 4 reviews)<br/>Incredibly poor management. (in 4 reviews)<br/>Disjointed teams (in 3 reviews)
156,156,Dominion Energy,Good health insurance and benefits if you stay for three years. (in 95 reviews)<br/>good pay and not busy (in 67 reviews)<br/>Great people to work with (in 56 reviews)<br/>work life balance is good (in 33 reviews)<br/>The work environment is friendly. (in 18 reviews),bad management<br/>very much good ol boy club (in 31 reviews)<br/>Long hours and lack of equipment due to covid (in 16 reviews)<br/>Supervisors are aweful. (in 9 reviews)<br/>HR and senior leaders are currently pushing for diversity. (in 8 reviews)<br/>Nepotism is still alive and well<br/>albeit under the table. (in 7 reviews)
158,158,Fluor,good pay and they give yo 50 plus ours a week (in 188 reviews)<br/>The people are great and enjoyable to work with. (in 160 reviews)<br/>Good benefits and working every other Friday is very nice. (in 148 reviews)<br/>Good salary (considering that we might be put on leave after a project ends if there\'s not another one needing our skills) (in 123 reviews)<br/>Work life balance is good (in 73 reviews),poor management and buddy system (in 92 reviews)<br/>No job security for project based employees (in 55 reviews)<br/>industry is cyclical and layoffs are to be expected every 5 (in 50 reviews)<br/>Many of the managers don\'t even have college degrees nor any sort of emotional intelligence. (in 29 reviews)<br/>New management personnel are at times placed in positions where upper management does a poor job of guiding. (in 25 reviews)
159,159,AECOM,Some great people work here and can be excellent resources if you seek them out. (in 502 reviews)<br/>Good benefits compared to other similar size and industry companies (in 413 reviews)<br/>The pay as a consultant is good and there are a wide variety of jobs and clients to work with. (in 229 reviews)<br/>Opportunities to link into projects around the world if you are good at networking and persistent. (in 148 reviews)<br/>Great team and bosses. (in 144 reviews),Poor management and do not think about employees (in 427 reviews)<br/>Salary is low for area...rent and taxes are high...with minimum wage going up need to open the coffers. (in 272 reviews)<br/>Poor upper management. (in 140 reviews)<br/>Project managers do not follow ethics when it come to the time charges and scope creeping. (in 128 reviews)<br/>No training provided for junior staff (in 91 reviews)
160,160,Reliance Steel & Aluminum,And decent pay. (in 8 reviews)<br/>great benefits<br/>tight (in 8 reviews)<br/>Like many other small companies people are generally pretty friendly. (in 6 reviews),Poor management (in 6 reviews)<br/>Training is loosy goosy (in 3 reviews)
161,161,Jacobs Engineering Group,Some great people at Jacobs that try hard to make the office an enjoyable place. (in 343 reviews)<br/>They offer many good benefits and are always hosting morale functions for employees and their family members. (in 249 reviews)<br/>Good SMEs to learn from and pay is good. (in 247 reviews)<br/>Good salary and they put a lot of trust in their employees to work independently and take initiative and provide solutions for the clients. (in 176 reviews)<br/>Flexibility and good work life balance (in 165 reviews),Poor management... they waste most of the job budget on very high salaried people in meetings where very little if anything is accomplished. (in 236 reviews)<br/>This was due to the fact that I received no training when I was hired. (in 83 reviews)<br/>Some managers don\'t have the educational backround for the positions they hold. (in 69 reviews)<br/>Upper management is disconnected from the work force .there (in 65 reviews)<br/>Not enough PTO and no bonuses (in 51 reviews)
162,162,Corning,Great benefits and tons of overtime (in 148 reviews)<br/>Great for people who like to live in the countryside and prefer to avoid the long city commutes (in 118 reviews)<br/>pay was good and I got along with almost everyone (in 111 reviews)<br/>Culture is good. (in 65 reviews)<br/>good work life balance in a small town (in 54 reviews),Poor management<br/>bunch of creepy people<br/>very bad culcture. (in 40 reviews)<br/>Frequent layoffs mean you might be laid off every few years (in 20 reviews)<br/>Hard to advance quickly<br/>some poor managers. (in 20 reviews)<br/>Upper management is aware of the problematic conditions on the automation technician team<br/>but they choose to ignore it. (in 18 reviews)<br/>Absolutely clueless leadership. (in 18 reviews)
164,164,Qurate Retail,Cool employee discounts at all affiliated brands<br/>high levels of transparency from directors<br/>and very generous work from home arrangements. (in 9 reviews)<br/>Good work life balance. (in 7 reviews)<br/>Remote work and good people (in 7 reviews)<br/>Benefits discounts to employees were great (in 6 reviews)<br/>WAH<br/>Very nice coworkers<br/>fun training<br/>lots of support (in 3 reviews),Low pay compared to other Call centers in the area. (in 5 reviews)
165,165,Pacific Life,Great benefits and one of the last stressful companies in America according to Business Insider. (in 89 reviews)<br/>Generally great people to work with (in 50 reviews)<br/>Good pay and can be a fun atmosphere. (in 39 reviews)<br/>Great work / life balance (in 32 reviews)<br/>It has a great culture depending on what team you are on (in 26 reviews),Bad/nonexistent management is rampant<br/>as people who are skilled individual contributors get promoted into management with no training and no screening as to their management skills. (in 34 reviews)<br/>And you\'ll see after the smoke has cleared who is the better manager.... (in 16 reviews)<br/>Starting to act a lot like a public company with immediate layoffs at any sign of economic downturn. (in 10 reviews)<br/>They then replace you with lower salary employees. (in 9 reviews)<br/>long hours (in 8 reviews)
166,166,PulteGroup,Great people working for a company with products that make a difference in people\'s lives. (in 56 reviews)<br/>The team building events are a great benefit and allow employees to get to know each other out of the work setting. (in 56 reviews)<br/>The culture is great and diverse. (in 43 reviews)<br/>Good pay and people in the local officers (in 38 reviews)<br/>Company culture is great. (in 14 reviews),The management is poor (in 26 reviews)<br/>there is no work life balance (in 23 reviews)<br/>Upper management seemed very disconnected from field operations. (in 18 reviews)<br/>Managers do not care about you or your family and are just concerned about their bonus\'. (in 13 reviews)<br/>Long Hours were common daily (in 11 reviews)
167,167,"""Fidelity National Information
",good work life balance (in 10 reviews)<br/>Great environment in FIS . (in 4 reviews)<br/>Good management (in 3 reviews)<br/>Great culture and co (in 3 reviews)<br/>Decent pay<br/>decent benefits<br/>supportive management (in 3 reviews),Legacy monolithic application mostly works in clear2pay FIS and salary is average. (in 3 reviews)
170,170,Marriott International,And the benefits wouldve been great if i ever got the chance to use them. (in 1280 reviews)<br/>The people I work with are great people who really care about the guests and their fellow associates. (in 604 reviews)<br/>great culture and interesting for those that love customer service (in 307 reviews)<br/>The staff is friendly which makes it very easy to make friends while working at the marriot. (in 225 reviews)<br/>there is some great training that you can do on your own to further your skills (in 197 reviews),The pay is low in hospitality given the hours that are expected and the demanding needs of hotels. (in 744 reviews)<br/>bad management and organization skills (in 533 reviews)<br/>Long hours and you need to make sure you are committed to what you do. (in 518 reviews)<br/>Salary is low because it is not enough to pay rent (in 398 reviews)<br/>There\'s no work life balance and the pay often no where near worth it. (in 316 reviews)
172,172,Ball,Starting pay was good with step raises of about 3% every six months for two years plus annual cost of living raise. (in 64 reviews)<br/>good benefits<br/>a lot of overtimes (in 44 reviews)<br/>The people on the floor are good people to work with (in 35 reviews)<br/>Good culture and fairly competitive benefits packages (in 10 reviews)<br/>Good salary (in 9 reviews),bad management (in 28 reviews)<br/>No training or schooling for my position. (in 11 reviews)<br/>Long hours<br/>hard to get promoted in any department if you do not know senior leaders or if you are a woman (in 9 reviews)<br/>Poor leadership (in 9 reviews)<br/>Rotating shifts are hard on family (in 7 reviews)
173,173,Group 1 Automotive,Health insurance and benefits are good (in 26 reviews)<br/>Good people to work with (in 14 reviews)<br/>Good coworkers with high ethics and energy (in 12 reviews)<br/>Unlimited money to make with the right resources. (in 8 reviews)<br/>Awesome work environment. (in 6 reviews),Poor management (in 37 reviews)<br/>Long hours but rewarded for it (in 31 reviews)<br/>Pay is low. (in 25 reviews)<br/>There were some shaky times with the Sales Managers and Assistant Sales Managers that were brought in while I worked there. (in 18 reviews)<br/>No training. (in 14 reviews)
174,174,Leidos Holdings,Good benefits and interesting with (in 308 reviews)<br/>The people are great and knowledgeable (in 215 reviews)<br/>Leidos has good benefits and depending upon the contract good pay... but their timecards are a joke. (in 205 reviews)<br/>Work/life balance can be really good. (in 133 reviews)<br/>Salary is good (in 80 reviews),Poor management (in Australia) (in 149 reviews)<br/>Upper management do not care about you. (in 50 reviews)<br/>Senior leadership hires its friends and family to the detriment of the company and its goals. (in 46 reviews)<br/>No training budgets! (in 39 reviews)<br/>No bonus or company event (in 35 reviews)
175,175,Wayfair,There are also some really great people that you\'ll meet and be able to work with. (in 397 reviews)<br/>Good Benefits and all you can eat snacks and sodas (in 290 reviews)<br/>Great culture and lots of people right out of college to make the transition into a new job easy. (in 285 reviews)<br/>Good work life balance and lot of snacks (in 216 reviews)<br/>I am on the promotions team and oh boy I have the best manager and a great team to learn from. (in 97 reviews),They pay is low and they set the bar so high you would never reach it. (in 280 reviews)<br/>Poor Management with responsibilities constantly changing. (in 235 reviews)<br/>Managers don\'t have experience and there\'s no guidance and direction for your job. (in 195 reviews)<br/>The salaries are low compared to similar jobs nationwide and very low when compared to Boston and other areas in Massachusetts. (in 157 reviews)<br/>senior leadership in the design org was really kind but misguided (in 117 reviews)
176,176,Consolidated Edison,Good benefits and on par salary (in 123 reviews)<br/>work and pay is good (in 87 reviews)<br/>Great people to work with and diverse projects to work on (in 68 reviews)<br/>Good work life balance. (in 40 reviews)<br/>Good job security (in 36 reviews),some managers have no clue how to lead a team and it leaves the employees feeling frustrated. (in 26 reviews)<br/>Management knows absolutely nothing about electricity (in 25 reviews)<br/>The culture is \'sometimes\' frustrating because there is a rift between the old culture which is satisfies with the status quo and the newer employees who are willing to implement positive change. (in 22 reviews)<br/>Too much politics and nepotism is rampant. (in 16 reviews)<br/>What appears to have been shady tactics<br/>mistruths and flat out dishonesty during the rollout of “Total Rewards” has left a lingering of mistrust which has never really been dealt with or acknowledged by upper management. (in 14 reviews)
177,177,Ameriprise Financial,benefits are good and they paid ok (in 188 reviews)<br/>Great people and low (in 143 reviews)<br/>A diverse group of businesses; good work/life balance; growing into new markets (in 141 reviews)<br/>small company means you get access to alot of things management will let you grow in any area you want to good culture (in 101 reviews)<br/>Good Pay based upon pay bands (in 66 reviews),Poor management and lots of restructuring (in 99 reviews)<br/>Senior leadership can sometimes be detached from the situations their staff encounter (in 54 reviews)<br/>Some managers don\'t have the basic knowledge of what their employees do to be able to give relevant performance reviews. (in 38 reviews)<br/>long hours and tons of work (in 31 reviews)<br/>Low Compensation relative to similar positions (in 26 reviews)
178,178,Xcel Energy,Pay scale is comparable to other companies and good benefits. (in 80 reviews)<br/>tons of over time and good pay (in 68 reviews)<br/>Great people and very stable (in 68 reviews)<br/>Generally competitive in salaries and good benefits. (in 18 reviews)<br/>401k and pension starts the day you are hired on as full time for non (in 17 reviews),Some departments have bad management (in 32 reviews)<br/>And no<br/>the majority of Xcel\'s employees do not receive stock...but Senior Leadership does. (in 26 reviews)<br/>Certain upper management. (in 18 reviews)<br/>No training or ability to attend training or travel (in 16 reviews)<br/>I had the same job for 2 years and 5 managers located in 2 states. (in 15 reviews)
179,179,O'Reilly Automotive,People were great and it suited the hours needed to compliment my full time job. (in 187 reviews)<br/>Good benefits and 401k. (in 149 reviews)<br/>Flexible Hours and easy to work around scheduling (in 76 reviews)<br/>The company has a great culture which 95% of their people really live and breathe every day! (in 61 reviews)<br/>The coworkers are great and remote working during covid has been good (in 55 reviews),Pay is low for the amount of work that we need to accomplish on a daily basis. (in 406 reviews)<br/>There are also some areas that have high turn rate for employees (usually a sign of poor management) (in 178 reviews)<br/>Corporate and upper management were a nightmare (in 90 reviews)<br/>Store managers don\'t work the 55 hour workweek as is promised; I currently work 70 (in 73 reviews)<br/>They keep promising promotions and never give and then use you anyway they can for hours but no raise. (in 53 reviews)
180,180,Global Partners,good benefits for all employees (in 11 reviews)<br/>family oriented Company advancement competitive pay (in 7 reviews)<br/>The people at Global are the high point: nice<br/>honest<br/>people who like to have fun and take pride in their work. (in 7 reviews)<br/>The salary is good in most cases. (in 6 reviews)<br/>Some great people<br/>able to learn a lot<br/>and there is a lot of opportunity (in 4 reviews),Management here is awful. (in 7 reviews)<br/>Too many gaps depending on who did the actual training. (in 6 reviews)<br/>If they would hire upper management that has knowledge in the industry<br/>and allow these people to guide the staff<br/>maybe then they could keep employees. (in 5 reviews)<br/>Only as flexible with work life balance as they have to be. (in 3 reviews)<br/>Good managers/supervisors leave because they see the institutional favoritism and internal politics and realize they will never get anywhere. (in 3 reviews)
